engine,mda_frame,mda_time_ps,pocket_atom_count_6p5A,frame,time_ps,time_ns,C4_O1_A,RS_label
gromacs_full,0,0.0,25,0,0.0,0.0,4.362784385681152,R-like
gromacs_full,1,5.0,27,1,5.0,0.005,4.423764228820801,R-like
gromacs_full,2,10.0,29,2,10.0,0.01,4.655547618865967,R-like
gromacs_full,3,15.0,31,3,15.0,0.015,4.349964618682861,R-like
gromacs_full,4,20.0,32,4,20.0,0.02,4.6961822509765625,R-like
gromacs_full,5,25.0,28,5,25.0,0.025,4.648458957672119,R-like
gromacs_full,6,30.0,31,6,30.0,0.03,4.614651679992676,R-like
gromacs_full,7,35.0,30,7,35.0,0.035,4.642251014709473,R-like
gromacs_full,8,40.0,36,8,40.0,0.04,4.539228916168213,R-like
gromacs_full,9,45.0,25,9,45.0,0.045,4.646568298339844,R-like
gromacs_full,10,50.0,30,10,50.0,0.05,4.557915210723877,R-like
gromacs_full,11,55.0,24,11,55.0,0.055,4.300108909606934,R-like
gromacs_full,12,60.0,31,12,60.0,0.06,4.65317440032959,S-like
gromacs_full,13,65.0,31,13,65.0,0.065,4.578349113464356,R-like
gromacs_full,14,70.0,21,14,70.0,0.07,4.310695171356201,R-like
gromacs_full,15,75.0,25,15,75.0,0.075,4.4434332847595215,R-like
gromacs_full,16,80.0,26,16,80.0,0.08,4.24078893661499,R-like
gromacs_full,17,85.0,26,17,85.0,0.085,4.377336025238037,R-like
gromacs_full,18,90.0,28,18,90.0,0.09,4.23761796951294,R-like
gromacs_full,19,95.0,26,19,95.0,0.095,4.300477981567383,R-like
gromacs_full,20,100.0,24,20,100.0,0.1,4.435223579406738,R-like
gromacs_full,21,105.0,27,21,105.0,0.105,4.358785629272461,S-like
gromacs_full,22,110.0,20,22,110.0,0.11,4.2378997802734375,R-like
gromacs_full,23,115.0,26,23,115.0,0.115,4.19959831237793,R-like
gromacs_full,24,120.0,23,24,120.0,0.12,4.33112096786499,R-like
gromacs_full,25,125.0,23,25,125.0,0.125,4.139179229736328,R-like
gromacs_full,26,130.0,29,26,130.0,0.13,4.242331504821777,R-like
gromacs_full,27,135.0,23,27,135.0,0.135,4.298058986663818,R-like
gromacs_full,28,140.0,27,28,140.0,0.14,4.286211490631104,R-like
gromacs_full,29,145.0,28,29,145.0,0.145,4.21181583404541,S-like
gromacs_full,30,150.0,26,30,150.0,0.15,4.302316665649414,S-like
gromacs_full,31,155.0,21,31,155.0,0.155,4.403319358825684,R-like
gromacs_full,32,160.0,27,32,160.0,0.16,4.495045185089111,S-like
gromacs_full,33,165.0,24,33,165.0,0.165,4.339282035827637,R-like
gromacs_full,34,170.0,22,34,170.0,0.17,4.261982440948486,R-like
gromacs_full,35,175.0,25,35,175.0,0.175,4.434475898742676,R-like
gromacs_full,36,180.0,23,36,180.0,0.18,4.171462535858154,R-like
gromacs_full,37,185.0,25,37,185.0,0.185,4.299373626708984,R-like
gromacs_full,38,190.0,26,38,190.0,0.19,4.488483905792236,R-like
gromacs_full,39,195.0,26,39,195.0,0.195,4.439650058746338,S-like
