engine,frame,time_ps_mda,n_res_4p0A,n_res_5p0A,n_res_6p0A,time_ps,time_ns,C4_O1_A,RS_label,RS_label_raw,signed_triple_O1_C5phenyl_C3chain_about_C4
amber_smoke2,0,107.0,13,16,22,107.0,0.107,4.342732906341553,S-like,S_like_by_product_reference,0.5767711997032166
amber_smoke2,1,112.0,10,16,24,112.0,0.112,4.349061965942383,S-like,S_like_by_product_reference,1.50850510597229
amber_smoke2,2,117.0,12,16,22,117.0,0.117,4.439364910125732,S-like,S_like_by_product_reference,0.6053428053855896
amber_smoke2,3,122.0,10,16,22,122.0,0.122,4.368950366973877,S-like,S_like_by_product_reference,0.7517979741096497
amber_smoke2,4,127.0,9,17,22,127.0,0.127,4.531705856323242,S-like,S_like_by_product_reference,0.4966708123683929
amber_smoke2,5,132.0,10,17,20,132.0,0.132,4.350036144256592,S-like,S_like_by_product_reference,0.5391073226928711
amber_smoke2,6,137.0,10,15,25,137.0,0.137,4.616733074188232,S-like,S_like_by_product_reference,1.743929386138916
amber_smoke2,7,142.0,12,17,22,142.0,0.142,4.53424596786499,R-like,R_like_by_product_reference,-1.2082067728042605
amber_smoke2,8,147.0,9,14,22,147.0,0.147,4.355147838592529,S-like,S_like_by_product_reference,1.4000016450881958
amber_smoke2,9,152.0,11,15,20,152.0,0.152,4.356956481933594,R-like,R_like_by_product_reference,-1.0519795417785645
amber_smoke2,10,157.0,9,16,19,157.0,0.157,4.36799430847168,S-like,S_like_by_product_reference,0.3812349140644073
amber_smoke2,11,162.0,8,14,24,162.0,0.162,4.334301948547363,R-like,R_like_by_product_reference,-3.2986156940460205
amber_smoke2,12,167.0,11,16,22,167.0,0.167,4.432254791259766,S-like,S_like_by_product_reference,0.0995181649923324
amber_smoke2,13,172.0,9,15,25,172.0,0.172,4.3478217124938965,S-like,S_like_by_product_reference,1.11459219455719
amber_smoke2,14,177.0,12,17,21,177.0,0.177,4.449748992919922,S-like,S_like_by_product_reference,0.253508061170578
amber_smoke2,15,182.0,12,18,22,182.0,0.182,4.1941633224487305,S-like,S_like_by_product_reference,1.3451964855194092
amber_smoke2,16,187.0,11,18,22,187.0,0.187,4.37489652633667,R-like,R_like_by_product_reference,-0.3101671636104584
amber_smoke2,17,192.0,10,17,21,192.0,0.192,4.264628410339356,S-like,S_like_by_product_reference,1.1572091579437256
amber_smoke2,18,197.0,10,18,25,197.0,0.197,4.121608734130859,S-like,S_like_by_product_reference,2.616267681121826
amber_smoke2,19,202.0,11,18,24,202.0,0.202,4.391116142272949,S-like,S_like_by_product_reference,1.882453203201294
amber_smoke2,20,207.0,12,17,23,207.0,0.207,4.328137874603272,R-like,R_like_by_product_reference,-1.8649555444717407
amber_smoke2,21,212.0,8,17,23,212.0,0.212,4.212179660797119,S-like,S_like_by_product_reference,0.570023775100708
amber_smoke2,22,217.0,11,15,23,217.0,0.217,4.48213005065918,S-like,S_like_by_product_reference,0.1557270884513855
amber_smoke2,23,222.0,10,18,22,222.0,0.222,4.446395397186279,R-like,R_like_by_product_reference,-0.5891433954238892
amber_smoke2,24,227.0,8,17,21,227.0,0.227,4.290682315826416,S-like,S_like_by_product_reference,1.013134479522705
amber_smoke2,25,232.0,7,16,21,232.0,0.232,4.292952060699463,R-like,R_like_by_product_reference,-3.592525005340576
amber_smoke2,26,237.0,8,18,23,237.0,0.237,4.195605278015137,S-like,S_like_by_product_reference,1.085373878479004
amber_smoke2,27,242.0,8,16,19,242.0,0.242,4.337845325469971,S-like,S_like_by_product_reference,0.7324845790863037
amber_smoke2,28,247.0,11,18,23,247.0,0.247,4.392433166503906,R-like,R_like_by_product_reference,-0.1405846327543258
amber_smoke2,29,252.0,12,16,22,252.0,0.252,4.270082473754883,S-like,S_like_by_product_reference,1.238617777824402
amber_smoke2,30,257.0,13,15,24,257.0,0.257,4.589751243591309,R-like,R_like_by_product_reference,-4.078671455383301
amber_smoke2,31,262.0,9,16,22,262.0,0.262,4.229286670684815,S-like,S_like_by_product_reference,0.374200701713562
amber_smoke2,32,267.0,10,16,22,267.0,0.267,4.194797039031982,R-like,R_like_by_product_reference,-0.4930110871791839
amber_smoke2,33,272.0,10,15,23,272.0,0.272,4.479751586914063,R-like,R_like_by_product_reference,-3.668591022491455
amber_smoke2,34,277.0,10,16,23,277.0,0.277,4.4557785987854,R-like,R_like_by_product_reference,-0.8275633454322815
amber_smoke2,35,282.0,10,16,21,282.0,0.282,4.407049179077148,S-like,S_like_by_product_reference,1.876486897468567
amber_smoke2,36,287.0,9,16,20,287.0,0.287,4.303612232208252,R-like,R_like_by_product_reference,-1.0205382108688354
amber_smoke2,37,292.0,11,15,21,292.0,0.292,4.39465856552124,R-like,R_like_by_product_reference,-1.7229747772216797
amber_smoke2,38,297.0,9,16,21,297.0,0.297,4.274336814880371,R-like,R_like_by_product_reference,-0.0412479974329471
amber_smoke2,39,302.0,9,15,21,302.0,0.302,4.295287609100342,R-like,R_like_by_product_reference,-3.647986888885498
