engine,frame,time_ps_mda,n_res_4p0A,n_res_5p0A,n_res_6p0A,time_ps,time_ns,C4_O1_A,RS_label,RS_label_raw,signed_triple_O1_C5phenyl_C3chain_about_C4
gromacs_1k_timing,0,0.0,12,13,18,0.0,0.0,4.362784385681152,R-like,R_like_by_product_reference,-0.7676830887794495
gromacs_1k_timing,1,5.0,10,14,20,5.0,0.005,4.423764228820801,R-like,R_like_by_product_reference,-2.339578151702881
gromacs_1k_timing,2,10.0,11,14,17,10.0,0.01,4.655547618865967,R-like,R_like_by_product_reference,-1.5747274160385132
gromacs_1k_timing,3,15.0,10,15,18,15.0,0.015,4.349964618682861,R-like,R_like_by_product_reference,-2.178895950317383
gromacs_1k_timing,4,20.0,10,16,18,20.0,0.02,4.6961822509765625,R-like,R_like_by_product_reference,-2.371284484863281
gromacs_1k_timing,5,25.0,10,14,18,25.0,0.025,4.648458957672119,R-like,R_like_by_product_reference,-2.3669509887695312
gromacs_1k_timing,6,30.0,9,15,19,30.0,0.03,4.614651679992676,R-like,R_like_by_product_reference,-1.83565890789032
gromacs_1k_timing,7,35.0,10,14,18,35.0,0.035,4.642251014709473,R-like,R_like_by_product_reference,-3.059772253036499
gromacs_1k_timing,8,40.0,11,16,19,40.0,0.04,4.539228916168213,R-like,R_like_by_product_reference,-1.9953025579452517
gromacs_1k_timing,9,45.0,10,14,20,45.0,0.045,4.646568298339844,R-like,R_like_by_product_reference,-2.34984827041626
gromacs_1k_timing,10,50.0,11,17,18,50.0,0.05,4.557915210723877,R-like,R_like_by_product_reference,-1.6075857877731323
gromacs_1k_timing,11,55.0,12,15,19,55.0,0.055,4.300108909606934,R-like,R_like_by_product_reference,-0.8974429965019226
gromacs_1k_timing,12,60.0,12,16,19,60.0,0.06,4.65317440032959,S-like,S_like_by_product_reference,0.1728998869657516
gromacs_1k_timing,13,65.0,12,16,18,65.0,0.065,4.578349113464356,R-like,R_like_by_product_reference,-1.980990648269653
gromacs_1k_timing,14,70.0,10,14,19,70.0,0.07,4.310695171356201,R-like,R_like_by_product_reference,-0.8056755661964417
gromacs_1k_timing,15,75.0,12,14,18,75.0,0.075,4.4434332847595215,R-like,R_like_by_product_reference,-2.381598234176636
gromacs_1k_timing,16,80.0,11,14,17,80.0,0.08,4.24078893661499,R-like,R_like_by_product_reference,-0.6437134146690369
gromacs_1k_timing,17,85.0,12,13,19,85.0,0.085,4.377336025238037,R-like,R_like_by_product_reference,-1.179741144180298
gromacs_1k_timing,18,90.0,9,14,18,90.0,0.09,4.23761796951294,R-like,R_like_by_product_reference,-1.0155805349349976
gromacs_1k_timing,19,95.0,11,13,20,95.0,0.095,4.300477981567383,R-like,R_like_by_product_reference,-0.4553063809871673
gromacs_1k_timing,20,100.0,12,15,18,100.0,0.1,4.435223579406738,R-like,R_like_by_product_reference,-0.3532721102237701
gromacs_1k_timing,21,105.0,12,15,23,105.0,0.105,4.358785629272461,S-like,S_like_by_product_reference,1.9738585948944087
gromacs_1k_timing,22,110.0,11,14,17,110.0,0.11,4.2378997802734375,R-like,R_like_by_product_reference,-2.0154812335968018
gromacs_1k_timing,23,115.0,9,14,18,115.0,0.115,4.19959831237793,R-like,R_like_by_product_reference,-1.9477461576461792
gromacs_1k_timing,24,120.0,11,13,16,120.0,0.12,4.33112096786499,R-like,R_like_by_product_reference,-1.1111067533493042
gromacs_1k_timing,25,125.0,9,13,19,125.0,0.125,4.139179229736328,R-like,R_like_by_product_reference,-0.1398750245571136
gromacs_1k_timing,26,130.0,9,15,17,130.0,0.13,4.242331504821777,R-like,R_like_by_product_reference,-0.1920613646507263
gromacs_1k_timing,27,135.0,10,14,17,135.0,0.135,4.298058986663818,R-like,R_like_by_product_reference,-0.3752638697624206
gromacs_1k_timing,28,140.0,12,14,20,140.0,0.14,4.286211490631104,R-like,R_like_by_product_reference,-1.1455312967300415
gromacs_1k_timing,29,145.0,11,14,18,145.0,0.145,4.21181583404541,S-like,S_like_by_product_reference,0.1164636835455894
gromacs_1k_timing,30,150.0,11,15,17,150.0,0.15,4.302316665649414,S-like,S_like_by_product_reference,0.1135881915688514
gromacs_1k_timing,31,155.0,11,14,19,155.0,0.155,4.403319358825684,R-like,R_like_by_product_reference,-0.7886070013046265
gromacs_1k_timing,32,160.0,10,14,17,160.0,0.16,4.495045185089111,S-like,S_like_by_product_reference,0.22197325527668
gromacs_1k_timing,33,165.0,10,14,19,165.0,0.165,4.339282035827637,R-like,R_like_by_product_reference,-1.454702377319336
gromacs_1k_timing,34,170.0,11,15,17,170.0,0.17,4.261982440948486,R-like,R_like_by_product_reference,-0.2359801083803177
gromacs_1k_timing,35,175.0,11,14,18,175.0,0.175,4.434475898742676,R-like,R_like_by_product_reference,-1.339518904685974
gromacs_1k_timing,36,180.0,11,14,19,180.0,0.18,4.171462535858154,R-like,R_like_by_product_reference,-1.9354320764541624
gromacs_1k_timing,37,185.0,9,14,21,185.0,0.185,4.299373626708984,R-like,R_like_by_product_reference,-0.3169106543064117
gromacs_1k_timing,38,190.0,12,14,20,190.0,0.19,4.488483905792236,R-like,R_like_by_product_reference,-1.479965329170227
gromacs_1k_timing,39,195.0,9,15,18,195.0,0.195,4.439650058746338,S-like,S_like_by_product_reference,1.8612092733383176
